,term,int_rate,grade,sub_grade,emp_title,emp_length,home_ownership,verification_status,issue_d,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,earliest_cr_line,revol_util,initial_list_status,last_pymnt_d,next_pymnt_d,last_credit_pull_d,application_type,verification_status_joint,sec_app_earliest_cr_line,hardship_flag,hardship_type,hardship_reason,hardship_status,hardship_start_date,hardship_end_date,payment_plan_start_date,hardship_loan_status,debt_settlement_flag,debt_settlement_flag_date,settlement_status,settlement_date
17, 60 months,17.97%,D,D1,mechanic,5 years,MORTGAGE,Verified,May-19,n,https://lendingclub.com/browse/loanDetail.action?loan_id=152333029,,other,Other,980xx,WA,Oct-09,36.50%,w,Jul-20,Sep-20,Aug-20,Individual,,,N,CVD19SKIP,UNEMPLOYMENT,COMPLETE,Jul-20,Aug-20,Jun-20,INCOLLECTION,N,,,
18, 36 months,17.97%,D,D1,Truck Driver,6 years,MORTGAGE,Not Verified,Jan-19,n,https://lendingclub.com/browse/loanDetail.action?loan_id=147074125,,credit_card,Credit card refinancing,087xx,NJ,Aug-94,29.10%,w,Aug-20,Sep-20,Aug-20,Individual,,,N,,,,,,,,N,,,
19, 36 months,9.49%,B,B2,CAP TEAM SUPERVISOR,3 years,MORTGAGE,Not Verified,Jun-16,n,https://lendingclub.com/browse/loanDetail.action?loan_id=83816135,,credit_card,Credit card refinancing,370xx,TN,Jan-92,91.90%,w,Sep-18,,Aug-20,Individual,,,N,,,,,,,,N,,,
20, 60 months,10.33%,B,B1,Logistics Coordinator ,6 years,MORTGAGE,Verified,Mar-20,n,https://lendingclub.com/browse/loanDetail.action?loan_id=168605249,,debt_consolidation,Debt consolidation,018xx,MA,Sep-04,30.10%,w,Aug-20,Sep-20,Aug-20,Joint App,Verified,Sep-01,N,,,,,,,,N,,,
21, 36 months,8.39%,A,A5,Senior Accountant,3 years,MORTGAGE,Not Verified,Nov-14,n,https://lendingclub.com/browse/loanDetail.action?loan_id=32400026,,credit_card,Credit card refinancing,324xx,FL,Sep-07,47.40%,w,Nov-17,,Aug-18,Individual,,,N,,,,,,,,N,,,
22, 36 months,8.46%,A,A5,SCience Teacher,6 years,MORTGAGE,Source Verified,Aug-18,n,https://lendingclub.com/browse/loanDetail.action?loan_id=139051851,,home_improvement,Home improvement,300xx,GA,Jan-12,17.60%,w,Feb-20,,Aug-20,Individual,,,N,,,,,,,,N,,,
23, 60 months,14.47%,C,C2,Production assistant,1 year,MORTGAGE,Source Verified,Nov-18,n,https://lendingclub.com/browse/loanDetail.action?loan_id=143134669,,credit_card,Credit card refinancing,378xx,TN,Apr-95,40.90%,w,Aug-20,Sep-20,Aug-20,Joint App,Source Verified,May-00,N,,,,,,,,N,,,
24, 36 months,7.56%,A,A3,CEO,7 years,MORTGAGE,Verified,Jan-19,n,https://lendingclub.com/browse/loanDetail.action?loan_id=146113045,,debt_consolidation,Debt consolidation,333xx,FL,Dec-08,8.20%,w,Aug-20,Sep-20,Aug-20,Individual,,,N,,,,,,,,N,,,
25, 36 months,15.99%,C,C5,Trainer,2 years,RENT,Not Verified,Dec-16,n,https://lendingclub.com/browse/loanDetail.action?loan_id=94011615,,debt_consolidation,Debt consolidation,972xx,OR,Aug-06,57.40%,w,Jun-19,,Jun-19,Individual,,,N,,,,,,,,N,,,
26, 36 months,13.06%,C,C1,Teacher ,1 year,RENT,Source Verified,May-18,n,https://lendingclub.com/browse/loanDetail.action?loan_id=133380965,,debt_consolidation,Debt consolidation,770xx,TX,Aug-06,78.90%,w,Aug-20,Sep-20,Aug-20,Individual,,,N,,,,,,,,N,,,
27, 36 months,10.42%,B,B3,Accounting Supervisor,10+ years,MORTGAGE,Source Verified,Feb-18,n,https://lendingclub.com/browse/loanDetail.action?loan_id=128747359,,home_improvement,Home improvement,605xx,IL,Jun-03,52.10%,w,Aug-20,Sep-20,Aug-20,Individual,,,N,,,,,,,,N,,,
28, 36 months,12.69%,C,C2,CORRECTIONAL SERGEANT,7 years,MORTGAGE,Not Verified,Aug-15,n,https://lendingclub.com/browse/loanDetail.action?loan_id=57356065,,home_improvement,Home improvement,952xx,CA,Oct-03,3.30%,w,Feb-16,,Feb-19,Individual,,,N,,,,,,,,N,,,
29, 36 months,6.49%,A,A2,Brand Manager,< 1 year,MORTGAGE,Not Verified,Jan-16,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68579816,,debt_consolidation,Debt consolidation,752xx,TX,Sep-95,44.40%,w,Jan-19,,Aug-20,Individual,,,N,,,,,,,,N,,,
30, 36 months,7.56%,A,A3,Teacher,10+ years,MORTGAGE,Source Verified,Dec-18,n,https://lendingclub.com/browse/loanDetail.action?loan_id=145196851,,home_improvement,Home improvement,300xx,GA,Nov-98,39.60%,w,Feb-19,,Aug-20,Joint App,Source Verified,Sep-98,N,,,,,,,,N,,,
31, 60 months,13.56%,C,C1,,,RENT,Verified,Dec-18,n,https://lendingclub.com/browse/loanDetail.action?loan_id=143035523,,credit_card,Credit card refinancing,331xx,FL,Nov-05,40.90%,w,Nov-19,,Jul-20,Individual,,,N,,,,,,,,N,,,
32, 36 months,8.19%,A,A4,API 653 Tank Inspector ,6 years,MORTGAGE,Not Verified,Sep-19,n,https://lendingclub.com/browse/loanDetail.action?loan_id=159177893,,debt_consolidation,Debt consolidation,775xx,TX,Apr-07,46.80%,w,Aug-20,Sep-20,Aug-20,Individual,,,,,,,,,,,N,,,
33, 60 months,24.99%,E,E4,Social Worker,10+ years,MORTGAGE,Verified,Jul-16,n,https://lendingclub.com/browse/loanDetail.action?loan_id=85872853,,debt_consolidation,Debt consolidation,442xx,OH,Sep-86,32%,w,Aug-17,,Apr-20,Individual,,,N,,,,,,,,N,,,
34, 36 months,11.06%,B,B3,Nursing Assistant,4 years,RENT,Not Verified,Jul-18,n,https://lendingclub.com/browse/loanDetail.action?loan_id=137367882,,debt_consolidation,Debt consolidation,630xx,MO,Oct-03,88.70%,w,Aug-20,Sep-20,Aug-20,Individual,,,N,,,,,,,,N,,,
35, 36 months,10.91%,B,B4,Studio Artist,7 years,RENT,Source Verified,May-17,n,https://lendingclub.com/browse/loanDetail.action?loan_id=108194266,,debt_consolidation,Debt consolidation,104xx,NY,Mar-92,82.20%,w,May-18,,Aug-20,Individual,,,N,,,,,,,,N,,,
36, 36 months,7.56%,A,A3,Director CLEC Engineering,10+ years,OWN,Not Verified,Jul-19,n,https://lendingclub.com/browse/loanDetail.action?loan_id=155601003,,credit_card,Credit card refinancing,285xx,NC,Mar-00,54.80%,w,Aug-20,Sep-20,Aug-20,Individual,,,N,,,,,,,,N,,,
37, 36 months,8.19%,A,A4,Banker,1 year,RENT,Source Verified,Nov-19,n,https://lendingclub.com/browse/loanDetail.action?loan_id=161599254,,credit_card,Credit card refinancing,602xx,IL,Sep-97,68.80%,w,Aug-20,Sep-20,Aug-20,Individual,,,,,,,,,,,N,,,
38, 60 months,16.91%,C,C5,Server,2 years,RENT,Source Verified,Dec-18,n,https://lendingclub.com/browse/loanDetail.action?loan_id=145162349,,debt_consolidation,Debt consolidation,145xx,NY,Jul-13,48%,w,May-19,,Nov-19,Individual,,,N,,,,,,,,N,,,
39, 36 months,7.89%,A,A5,Sales and Finance Manager,5 years,MORTGAGE,Verified,Feb-16,n,https://lendingclub.com/browse/loanDetail.action?loan_id=70956636,,debt_consolidation,Debt consolidation,952xx,CA,Nov-01,91%,w,Feb-18,,May-19,Individual,,,N,,,,,,,,N,,,
40, 36 months,10.91%,B,B4,Manager,10+ years,RENT,Source Verified,Aug-17,n,https://lendingclub.com/browse/loanDetail.action?loan_id=113587484,,other,Other,907xx,CA,Jun-04,46.60%,w,Jan-18,,Jan-18,Individual,,,N,,,,,,,,N,,,
41, 36 months,7.56%,A,A3,RN,2 years,RENT,Not Verified,Jul-19,n,https://lendingclub.com/browse/loanDetail.action?loan_id=155465319,,debt_consolidation,Debt consolidation,932xx,CA,Apr-07,10.30%,w,Oct-19,,Aug-20,Individual,,,N,,,,,,,,N,,,
42, 36 months,12.74%,C,C1,Externship Coordinator,3 years,MORTGAGE,Verified,Apr-17,n,https://lendingclub.com/browse/loanDetail.action?loan_id=106540744,,debt_consolidation,Debt consolidation,370xx,TN,Jan-06,61%,w,May-20,,Aug-20,Individual,,,N,,,,,,,,N,,,
43, 36 months,11.71%,B,B3,Broadband technicians,10+ years,MORTGAGE,Source Verified,Jan-20,n,https://lendingclub.com/browse/loanDetail.action?loan_id=165574931,,debt_consolidation,Debt consolidation,112xx,NY,Dec-05,38.80%,w,Jun-20,,Aug-20,Individual,,,N,,,,,,,,N,,,
44, 36 months,14.47%,C,C2,vice president,5 years,MORTGAGE,Not Verified,Nov-18,n,https://lendingclub.com/browse/loanDetail.action?loan_id=142633011,,credit_card,Credit card refinancing,210xx,MD,Jan-01,82.90%,w,Oct-19,,Aug-20,Individual,,,N,,,,,,,,N,,,
45, 60 months,10.42%,B,B3,Manager,4 years,MORTGAGE,Source Verified,Dec-17,n,https://lendingclub.com/browse/loanDetail.action?loan_id=125239192,,debt_consolidation,Debt consolidation,480xx,MI,Aug-09,37.80%,w,Aug-20,Sep-20,Aug-20,Individual,,,N,,,,,,,,N,,,
46, 60 months,17.97%,D,D1,Fellowship Coordinator,4 years,RENT,Source Verified,Feb-19,n,https://lendingclub.com/browse/loanDetail.action?loan_id=148050348,,credit_card,Credit card refinancing,112xx,NY,Oct-03,36.20%,w,Aug-20,Sep-20,Aug-20,Individual,,,N,CVD19SKIP,INCOMECURT,COMPLETE,Apr-20,Jun-20,Apr-20,ACTIVE,N,,,
47, 36 months,13.99%,C,C4,Service Developer,10+ years,MORTGAGE,Not Verified,Jun-15,n,https://lendingclub.com/browse/loanDetail.action?loan_id=52858489,,debt_consolidation,Debt consolidation,337xx,FL,Aug-98,52%,w,Nov-16,,Dec-16,Individual,,,N,,,,,,,,N,,,
48, 36 months,15.57%,C,C3,,< 1 year,MORTGAGE,Not Verified,Jun-19,n,https://lendingclub.com/browse/loanDetail.action?loan_id=152595577,,debt_consolidation,Debt consolidation,806xx,CO,Jun-97,37.40%,w,Aug-20,Sep-20,Aug-20,Joint App,Not Verified,May-07,N,,,,,,,,N,,,
49, 36 months,6.46%,A,A1,Owner ,10+ years,MORTGAGE,Source Verified,Mar-20,n,https://lendingclub.com/browse/loanDetail.action?loan_id=168280391,,debt_consolidation,Debt consolidation,605xx,IL,Aug-83,25.70%,w,Aug-20,Sep-20,Aug-20,Individual,,,N,,,,,,,,N,,,
50, 60 months,14.30%,C,C1,IT Infrastructure Manager,4 years,RENT,Verified,Dec-19,n,https://lendingclub.com/browse/loanDetail.action?loan_id=162078235,,debt_consolidation,Debt consolidation,953xx,CA,Apr-03,27.40%,f,Aug-20,Sep-20,Aug-20,Joint App,,May-04,N,,,,,,,,N,,,
51, 60 months,24.74%,E,E3,Accounts Payable Supervisor,1 year,RENT,Source Verified,Nov-16,n,https://lendingclub.com/browse/loanDetail.action?loan_id=92850782,,debt_consolidation,Debt consolidation,981xx,WA,Feb-98,93%,f,Sep-17,,Feb-18,Individual,,,N,,,,,,,,N,,,
52, 36 months,16.99%,D,D1,Nutrition Services Manager,4 years,RENT,Verified,Jun-16,n,https://lendingclub.com/browse/loanDetail.action?loan_id=83344629,,debt_consolidation,Debt consolidation,891xx,NV,Oct-99,17.50%,w,Dec-16,,Dec-19,Individual,,,N,,,,,,,,N,,,
53, 36 months,8.90%,A,A5,Trader,4 years,MORTGAGE,Source Verified,May-14,n,https://lendingclub.com/browse/loanDetail.action?loan_id=15731156,,credit_card,Credit card refinancing,441xx,OH,Nov-02,57.20%,f,May-17,,May-19,Individual,,,N,,,,,,,,N,,,
54, 36 months,11.02%,B,B2,Driver,4 years,RENT,Not Verified,Apr-19,n,https://lendingclub.com/browse/loanDetail.action?loan_id=150785267,,credit_card,Credit card refinancing,900xx,CA,Jul-05,72.80%,w,Aug-20,Sep-20,Aug-20,Individual,,,N,,,,,,,,N,,,
55, 36 months,7.97%,A,A5,Senior Merchandise Planner,4 years,MORTGAGE,Source Verified,Jul-17,n,https://lendingclub.com/browse/loanDetail.action?loan_id=114164663,,debt_consolidation,Debt consolidation,339xx,FL,Apr-83,34.30%,w,Jan-18,,Aug-20,Individual,,,N,,,,,,,,N,,,
56, 36 months,15.61%,C,C4,Health Club Supervisor,10+ years,RENT,Not Verified,Feb-14,n,https://lendingclub.com/browse/loanDetail.action?loan_id=11627388,,debt_consolidation,Debt consolidation,021xx,MA,Jun-05,38.80%,w,Apr-16,,Feb-20,Individual,,,N,,,,,,,,N,,,
57, 60 months,8.19%,A,A4,Branch Manager,4 years,MORTGAGE,Source Verified,Aug-19,n,https://lendingclub.com/browse/loanDetail.action?loan_id=156748883,,debt_consolidation,Debt consolidation,308xx,GA,Feb-03,75.80%,w,Aug-20,Sep-20,Aug-20,Individual,,,N,,,,,,,,N,,,
58, 36 months,10.49%,B,B2,Network Manager,10+ years,RENT,Source Verified,Dec-16,n,https://lendingclub.com/browse/loanDetail.action?loan_id=94941363,,debt_consolidation,Debt consolidation,333xx,FL,Jan-04,51.60%,w,Jan-20,,Aug-20,Individual,,,N,,,,,,,,N,,,
59, 36 months,7.56%,A,A3,Senior Principal Scientist,7 years,RENT,Source Verified,Aug-19,n,https://lendingclub.com/browse/loanDetail.action?loan_id=156086772,,debt_consolidation,Debt consolidation,021xx,MA,Jan-97,63.40%,w,Aug-20,Sep-20,Aug-20,Individual,,,N,,,,,,,,N,,,
60, 36 months,13.90%,C,C1,Portfolio Manager,7 years,RENT,Not Verified,May-19,n,https://lendingclub.com/browse/loanDetail.action?loan_id=151459384,,credit_card,Credit card refinancing,891xx,NV,Sep-92,91%,f,Aug-20,Sep-20,Aug-20,Individual,,,N,,,,,,,,N,,,
61, 36 months,11.99%,B,B5,President,4 years,MORTGAGE,Verified,Sep-17,n,https://lendingclub.com/browse/loanDetail.action?loan_id=117956649,,small_business,Business,852xx,AZ,Aug-00,47.10%,w,Oct-17,,Feb-20,Individual,,,N,,,,,,,,N,,,
62, 36 months,11.99%,B,B5,,,OWN,Not Verified,Jun-17,n,https://lendingclub.com/browse/loanDetail.action?loan_id=111076117,,debt_consolidation,Debt consolidation,973xx,OR,Sep-76,67.20%,f,Sep-19,,Feb-20,Individual,,,N,,,,,,,,N,,,
63, 36 months,6.46%,A,A1,Salesmen ,10+ years,RENT,Source Verified,Feb-20,n,https://lendingclub.com/browse/loanDetail.action?loan_id=166991682,,car,Car financing,953xx,CA,Mar-08,6.60%,w,Aug-20,Sep-20,Aug-20,Individual,,,N,,,,,,,,N,,,
64, 36 months,10.75%,B,B4,teacher,10+ years,MORTGAGE,Not Verified,Jun-16,n,https://lendingclub.com/browse/loanDetail.action?loan_id=81364741,,home_improvement,Home improvement,086xx,NJ,May-87,34.80%,w,Jun-19,,Aug-20,Individual,,,N,,,,,,,,N,,,
65, 60 months,20.89%,D,D4,Bus driver ,10+ years,RENT,Verified,Oct-18,n,https://lendingclub.com/browse/loanDetail.action?loan_id=141373486,,debt_consolidation,Debt consolidation,922xx,CA,Sep-01,37.30%,w,Aug-20,Sep-20,Aug-20,Individual,,,N,,,,,,,,N,,,
66, 36 months,8.18%,B,B1,,,OWN,Verified,Oct-15,n,https://lendingclub.com/browse/loanDetail.action?loan_id=63346936,,credit_card,Credit card refinancing,493xx,MI,Jan-93,47.40%,w,Oct-18,,Oct-18,Individual,,,N,,,,,,,,N,,,
67, 36 months,7.02%,A,A2,Assistant Principal,10+ years,MORTGAGE,Not Verified,Nov-19,n,https://lendingclub.com/browse/loanDetail.action?loan_id=161473047,,credit_card,Credit card refinancing,624xx,IL,Jun-93,10.30%,w,Aug-20,Sep-20,Aug-20,Individual,,,N,,,,,,,,N,,,
68, 60 months,19.03%,D,D3,Network Operations Manager,10+ years,RENT,Source Verified,Jun-17,n,https://lendingclub.com/browse/loanDetail.action?loan_id=110751653,,debt_consolidation,Debt consolidation,104xx,NY,Mar-88,56.60%,w,Aug-20,Sep-20,Aug-20,Individual,,,N,,,,,,,,N,,,
69, 36 months,8.38%,B,B1,Owner ,5 years,MORTGAGE,Verified,Dec-15,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68008756,,vacation,Vacation,981xx,WA,Oct-94,86%,w,Jul-18,,Aug-18,Individual,,,N,,,,,,,,N,,,
70, 36 months,10.15%,B,B2,Assistant Office Manager,3 years,RENT,Not Verified,Jul-14,n,https://lendingclub.com/browse/loanDetail.action?loan_id=22264599,,credit_card,Credit card refinancing,112xx,NY,Jul-02,89.50%,f,May-17,,Aug-20,Individual,,,N,,,,,,,,N,,,
71, 60 months,24.85%,E,E3,President ,7 years,MORTGAGE,Source Verified,May-17,n,https://lendingclub.com/browse/loanDetail.action?loan_id=109373847,,small_business,Business,852xx,AZ,May-06,65.40%,w,Aug-20,Sep-20,Aug-20,Individual,,,N,,,,,,,,N,,,
72, 36 months,6.99%,A,A2,Operations Sr. Specialist,10+ years,OWN,Not Verified,Sep-16,n,https://lendingclub.com/browse/loanDetail.action?loan_id=89776659,,debt_consolidation,Debt consolidation,750xx,TX,Jan-94,8.40%,w,Jan-19,,Feb-19,Individual,,,N,,,,,,,,N,,,
73, 60 months,20.55%,D,D2,Practice Coordinator,10+ years,RENT,Source Verified,Sep-19,n,https://lendingclub.com/browse/loanDetail.action?loan_id=157686150,,credit_card,Credit card refinancing,021xx,MA,Sep-01,83.80%,w,Aug-20,Sep-20,Aug-20,Individual,,,N,,,,,,,,N,,,
74, 36 months,11.02%,B,B2,Teacher,10+ years,RENT,Not Verified,Aug-19,n,https://lendingclub.com/browse/loanDetail.action?loan_id=157126513,,credit_card,Credit card refinancing,949xx,CA,Feb-86,83.90%,w,Aug-20,Sep-20,Aug-20,Individual,,,N,,,,,,,,N,,,
75, 60 months,14.08%,C,C3,Co owner,2 years,RENT,Source Verified,Jan-18,n,https://lendingclub.com/browse/loanDetail.action?loan_id=127408564,,home_improvement,Home improvement,321xx,FL,Jun-00,88.60%,w,Dec-18,,Jun-19,Individual,,,N,,,,,,,,N,,,
76, 36 months,9.75%,B,B3,Partner,8 years,RENT,Source Verified,Mar-16,n,https://lendingclub.com/browse/loanDetail.action?loan_id=74471205,,debt_consolidation,Debt consolidation,113xx,NY,Sep-01,79.70%,w,Mar-17,,Mar-17,Individual,,,N,,,,,,,,N,,,
77, 36 months,9.43%,B,B1,Attorney,6 years,MORTGAGE,Source Verified,Apr-18,n,https://lendingclub.com/browse/loanDetail.action?loan_id=131113283,,debt_consolidation,Debt consolidation,752xx,TX,Sep-80,30%,w,Jul-20,,Jul-20,Individual,,,N,,,,,,,,N,,,
78, 36 months,8.81%,A,A5,Sr. Payroll Mgr,10+ years,MORTGAGE,Source Verified,Apr-19,n,https://lendingclub.com/browse/loanDetail.action?loan_id=150386896,,debt_consolidation,Debt consolidation,220xx,VA,Dec-08,42.40%,w,Aug-20,Sep-20,Aug-20,Individual,,,N,,,,,,,,N,,,
79, 36 months,24.37%,E,E2,,< 1 year,OWN,Verified,Jan-19,n,https://lendingclub.com/browse/loanDetail.action?loan_id=146401374,,debt_consolidation,Debt consolidation,331xx,FL,Apr-83,35.40%,w,Jun-20,,Jun-20,Individual,,,N,,,,,,,,N,,,
80, 36 months,18.94%,D,D2,Supervsior,10+ years,MORTGAGE,Source Verified,Jan-19,n,https://lendingclub.com/browse/loanDetail.action?loan_id=145819730,,debt_consolidation,Debt consolidation,380xx,TN,Dec-90,40.30%,w,Aug-20,Oct-20,Aug-20,Individual,,,Y,CVD19SKIP,INCOME_CURTAILMENT,ACTIVE,Jun-20,Sep-20,Jul-20,ACTIVE,N,,,
81, 36 months,7.97%,A,A5,Purchasing,1 year,MORTGAGE,Not Verified,Aug-17,n,https://lendingclub.com/browse/loanDetail.action?loan_id=115567686,,debt_consolidation,Debt consolidation,321xx,FL,Sep-87,53.60%,w,Oct-19,,Aug-20,Individual,,,N,,,,,,,,N,,,
82, 60 months,13.08%,B,B5,AGM,10+ years,RENT,Not Verified,Dec-19,n,https://lendingclub.com/browse/loanDetail.action?loan_id=162769049,,car,Car financing,328xx,FL,May-12,3%,w,Aug-20,Sep-20,Aug-20,Individual,,,N,CVD19SKIP,UNEMPLOYED,COMPLETE,May-20,Jul-20,May-20,ACTIVE,N,,,
83, 36 months,7.97%,A,A5,Telephone Service Representative,< 1 year,MORTGAGE,Source Verified,Jun-17,n,https://lendingclub.com/browse/loanDetail.action?loan_id=111073180,,credit_card,Credit card refinancing,900xx,CA,Aug-06,33.70%,w,Mar-19,,Aug-20,Individual,,,N,,,,,,,,N,,,
84, 36 months,17.74%,C,C5,Administrative assistant ,< 1 year,MORTGAGE,Source Verified,Jan-20,n,https://lendingclub.com/browse/loanDetail.action?loan_id=164920882,,medical,Medical expenses,104xx,NY,Nov-02,25.90%,w,Aug-20,Sep-20,Aug-20,Individual,,,N,CVD19SKIP,UNEMPLOYED,COMPLETE,Apr-20,Jul-20,May-20,ACTIVE,N,,,
85, 60 months,12.99%,C,C1,Director,4 years,MORTGAGE,Verified,Aug-14,n,https://lendingclub.com/browse/loanDetail.action?loan_id=24565041,,home_improvement,Home improvement,017xx,MA,Nov-02,28.10%,w,Feb-15,,Feb-15,Individual,,,N,,,,,,,,N,,,
86, 60 months,12.40%,B,B4,Regional CV Service line Director,10+ years,MORTGAGE,Source Verified,Jul-19,n,https://lendingclub.com/browse/loanDetail.action?loan_id=155956472,,debt_consolidation,Debt consolidation,840xx,UT,Feb-95,15.10%,w,Oct-19,,Aug-20,Individual,,,N,,,,,,,,N,,,
87, 36 months,16.95%,C,C4,Administrative Assistant,2 years,OWN,Not Verified,Dec-19,n,https://lendingclub.com/browse/loanDetail.action?loan_id=162631932,,debt_consolidation,Debt consolidation,773xx,TX,Jul-12,19.10%,w,Aug-20,Sep-20,Aug-20,Individual,,,N,,,,,,,,N,,,
88, 36 months,16.91%,C,C5,Director Accts,10+ years,OWN,Source Verified,Feb-19,n,https://lendingclub.com/browse/loanDetail.action?loan_id=147778094,,debt_consolidation,Debt consolidation,641xx,MO,Dec-03,87.90%,w,Aug-20,Sep-20,Aug-20,Individual,,,N,,,,,,,,N,,,
